City,Lat,Lon,Mean Household Income,Median Household Income,Stdev Household Income ,Number of Households
Hamburg,40.565512,-75.959644,76912,76323,44967,143.4925103
Hamilton,40.161566,-74.7660596,0,0,0,0
Hanover,39.80284333,-76.9851834,231665,425095,191066,5264.956181
Hanover Township,41.1899528,-75.9077217,52517,42087,42779,224.2238879
Harborcreek,42.1869495,-79.9428077,69570,60343,49599,569.7684021
Harleysville,40.25610915,-75.37251855,183522,384757,121963,731.0624331
Harrisburg,40.29178704,-76.83900929,902947,1443746,622119,6653.755535
Harrisville,41.22805745,-79.95224925,137904,348070,106245,1013.892161
Harveys Lake,41.364718,-76.044674,70291,58676,56161,701.6004639
Hatboro,40.1662782,-75.0844272,103725,76397,77655,353.4834094
Hatfield,40.259117,-75.2821723,70342,300000,51540,166.8937997
Havertown,39.97867615,-75.3070088,202525,189548,121685,675.4102379
Hawley,41.5450824,-75.0717987,85549,300000,56509,296.7171485
Hawthorn,41.020482,-79.283246,45574,39798,33887,122.1627332
Hazleton,40.96581408,-75.9549363,174400,137113,142817,2573.881794
Hellam,40.0296636,-76.6040292,58389,56099,40952,165.9248436
Hellertown,40.5793592,-75.349638,155452,115355,128297,801.6037598
Hereford,40.4415455,-75.5818422,82844,65188,62491,549.7362042
Herminie,40.2438982,-79.7045732,67437,61996,41461,286.5841089
Holland,40.1949,-74.989531,340375,283640,212644,1255.291041
Hollidaysburg,40.4255451,-78.35743525,113088,92697,104730,485.216303
Holtwood,39.8722516,-76.3226976,158449,137512,108106,1346.395364
Home,40.7099406,-79.0954749,68724,300000,40143,174.690649
Homer City,40.503555,-79.175216,41001,51842,27545,150.1227315
Honesdale,41.5757097,-75.250769,73153,47853,66622,1900.154814
Honey Brook,40.0935796,-75.9107502,70753,62234,46934,352.9816469
Horsham,40.19671515,-75.15422135,232072,208967,139093,467.1977797
Houston,40.2451707,-80.2283857,63996,52415,46369,161.7252343
Houtzdale,40.7918539,-78.3811107,52629,40004,39430,220.2937777
Hummelstown,40.26125063,-76.69872147,224993,398212,166644,2728.810868
Huntingdon,40.4522614,-78.0511751,95621,78329,72236,1460.543143
Huntingdon Valley,40.12132623,-75.0703811,375235,515772,211586,599.1537873
Hyndman,39.8205722,-78.6772811,50524,41906,40594,195.3924932
Indiana,40.6040895,-79.1535576,114706,89708,78500,431.6015702
Jamestown,41.50465645,-80.44923495,98686,71440,89136,405.5503865
Jeannette,40.35046837,-79.62480213,213807,182122,148324,1548.828643
Jenkintown,40.0908781,-75.1437121,137309,126825,71110,124.8887256
Jersey Shore,41.3881696,-77.4186835,76781,64225,46383,119.3597885
Johnstown,40.31938204,-78.90514069,447694,574758,352000,3160.004783
Jones Mills,40.1362235,-79.3164483,64474,50309,55473,409.6148033
Kane,41.7549528,-78.838859,59459,45990,53853,259.0588028
Kennett Square,39.84456165,-75.7121376,147595,114245,110516,611.9371173
Kersey,41.3232235,-78.6627574,47392,41985,32751,251.7919036
King Of Prussia,40.1072936,-75.3895492,111619,99207,69282,313.012625
Kingsley,41.6873549,-75.6270882,68394,64707,46038,193.257968
Kingston,41.26467685,-75.89492695,107836,93485,81260,705.7995429
Kittanning,40.829492,-79.5273593,103326,87821,87576,602.010023
Klingerstown,40.658951,-76.693142,49815,300000,28931,23.66641777
Knox,41.2135864,-79.5512419,49731,47636,32314,217.9571459
Kresgeville,40.8584321,-75.446481,72996,62897,49226,318.3174783
Kutztown,40.5213132,-75.7772876,113979,82539,96425,1583.480431
Lafayette Hill,40.09853135,-75.2403066,264827,253126,156197,542.9213627
Lake Ariel,41.4578656,-75.374952,59096,48328,43233,455.3859363
Lakewood,41.8551149,-75.4568449,100600,80737,81142,382.4506127
Lampeter,40.0039868,-76.2577651,76159,65352,57488,1463.758544
Lancaster,40.0424368,-76.30576239,918834,1988479,643439,7216.646235
Landenberg,39.7866579,-75.7539818,281532,431393,161920,710.7446948
Landisville,40.092903,-76.428155,82458,70145,58077,595.974019
Langhorne,40.17591922,-74.90475028,422573,796415,306442,1923.854633
Lansdale,40.24003135,-75.29184115,522087,457223,333495,2791.597804
Lansdowne,39.9412738,-75.2800871,129124,100937,99351,1095.783293
Lansford,40.8530679,-75.8409763,42109,36385,30095,653.2811524
Laporte,41.4593596,-76.3774948,63355,46211,52587,287.4568207
Larksville,41.2602142,-75.9099599,35795,22211,46381,356.4718423
Latrobe,40.27983603,-79.38618453,175264,150418,127051,1053.544891
Laureldale,40.3877927,-75.9246712,139905,127836,96062,548.2358028
Lebanon,40.33749253,-76.4083534,219371,198642,149446,1210.916758
Leechburg,40.6054948,-79.6388095,72894,56448,59193,1305.069484
Leetsdale,40.5658588,-80.2137679,55656,44351,46949,358.4540209
Lehighton,40.8255823,-75.69632016,289689,263465,170753,2488.340336
Levittown,40.1490149,-74.853648,568847,1174063,369680,3405.566323
Lewisburg,40.9530066,-76.94095695,142216,346520,115044,1925.11276
Lewistown,40.62209476,-77.55862523,340129,805480,225088,6327.623538
Liberty,41.6220371,-77.1504642,53078,46206,41003,219.2911805
Limerick,40.2497662,-75.5178932,124877,126465,71628,259.6778038
Lititz,40.16483215,-76.3007113,132499,122440,81805,714.7319361
Littlestown,39.74517,-77.089213,60223,55186,39952,1078.820216
Lock Haven,41.19156025,-77.48446645,90111,80561,74554,422.0408615
Lower Burrell,40.5981043,-79.7078528,57564,30458,59873,126.4895479
Loysburg,40.1650736,-78.379977,47950,50945,31491,226.7211621
Macungie,40.53468667,-75.55551077,257261,222069,168934,1551.771294
Malvern,40.0310495,-75.4993228,236783,371468,151983,1384.891814
Manheim,40.16347053,-76.40599897,192758,643447,137004,1892.909544
Mansfield,41.81712765,-76.9810771,118799,98137,90936,1160.757702
Marienville,41.45570215,-79.16720095,95437,327053,75804,115.6304472
Marietta,40.0834389,-76.5667219,183393,382475,92949,843.4039156
Marion Center,40.8233926,-79.1188276,51574,38629,41758,303.3208122
Markleysburg,39.8294308,-79.4653344,50852,37462,46240,470.4798745
Mars,40.7058089,-79.95887515,165070,148717,111530,764.1271325
Martinsburg,40.3310611,-78.2831809,44835,38229,32613,383.855052
Mc Clellandtown,39.8796686,-79.8670627,49214,45147,31373,305.3527484
Mc Donald,40.3691345,-80.2358522,51386,42857,38737,513.0147623
Mc Kean,41.9958199,-80.1285294,69415,55363,42021,362.5190303
Mc Kees Rocks,40.4416762,-80.1316668,89412,74193,59759,358.8483116
Mc Keesport,40.33195363,-79.83811257,271327,482412,186112,2703.169989
Mc Veytown,40.5263475,-77.6781435,89234,338295,55073,257.4266937
Mcalisterville,40.6390721,-77.3254698,63705,40319,59620,384.6214014
Mcdonald,40.3550876,-80.1743843,108084,79365,75923,525.0379627
Mckees Rocks,40.4769703,-80.0638457,102338,84496,77919,1274.244507
Mckeesport,40.313177,-79.804178,51948,40195,39693,619.0464061
Mcmurray,40.2912886,-80.0855059,116992,300000,69751,264.7773064
Meadville,41.62763187,-80.1585055,180265,382479,135159,1751.623394
Mechanicsburg,40.20650109,-76.98749386,578544,944737,376523,4970.70865
Media,39.91723563,-75.4219199,238281,178865,192973,1556.1995
Melcroft,40.025101,-79.293362,20000,300000,3096,10
Mercer,41.2040174,-80.1741855,52878,44837,38340,376.0873105
Mercersburg,39.8774765,-77.891793,64585,300000,36660,235.2927483
Middleburg,40.8023029,-77.0715013,44325,38039,26549,194.0624557
Middletown,40.19675415,-76.7325474,193266,166330,132079,2747.596147
Midland,40.61935025,-80.45967535,102923,80419,84330,1136.850578
Mifflinburg,40.9202943,-77.0443589,40569,30106,31283,324.8847846
Mill Creek,40.437033,-77.930954,41961,28024,33503,121.4291495
Mill Hall,41.0519423,-77.45339,66123,53265,50702,327.0199829
Millersburg,40.5742517,-76.9262375,68347,57563,49291,966.7539375
Millersville,40.0020562,-76.3486756,69907,60694,52446,212.0238687
Millville,41.1321793,-76.5244749,177688,132160,148414,567.0831072
Milton,41.0026569,-76.8510989,73243,70576,47206,170.7601993
Minersville,40.66470213,-76.29358187,205108,176032,148678,1383.269919
Monaca,40.68557225,-80.27237545,125075,101040,101262,2038.853576
Monessen,40.1385565,-79.86842233,147306,121834,111071,1805.077518
Monongahela,40.2022162,-79.9368033,61526,44474,56130,324.3857073
Monroeville,40.4102419,-79.75530795,128961,124943,101620,704.87561
Montoursville,41.3901924,-76.8778634,66102,54476,46844,292.4228083
Montrose,41.8328865,-75.87150685,106515,77290,89578,812.0681573
Moon Township,40.5143254,-80.2352644,60396,47686,49649,336.9851341
Moosic,41.3560418,-75.7046963,48573,300000,34413,289.4264558
Morrisdale,40.998873,-78.167983,38357,300000,32444,122.0315401
Morrisville,40.2096576,-74.789364,103119,78196,70580,241.5504576
Moscow,41.340785,-75.532408,97156,82784,68893,350.5801442
Mount Carmel,40.7957737,-76.4397443,95410,77557,72708,545.7800682
Mount Pleasant,40.18706687,-79.46362167,179185,139793,133850,1588.670088
Mount Union,40.3840791,-77.88151975,66908,53564,54782,1069.818891
Mount Wolf,40.0858591,-76.7066095,81428,300000,45794,164.2911495
Mountaintop,41.1228502,-75.8979906,65784,300000,39562,139.5924188
Mountville,40.0472678,-76.4203189,73548,64455,49941,1075.946715
Muncy,41.2168546,-76.7718322,124028,107013,88415,2072.35278
Munhall,40.3822012,-79.9042086,55382,44840,42965,335.1872936
Murrysville,40.44166517,-79.64579517,348490,331568,209889,627.4875869
Muse,40.2924865,-80.198636,135995,133545,79332,120.7579206
Myerstown,40.372139,-76.3055792,105185,91397,65571,1130.490053
Nanticoke,41.18909603,-76.02358443,179376,137103,151372,1457.505929
Nanty Glo,40.4709735,-78.8343315,49782,31484,47720,169.2598434
Narberth,40.0188076,-75.25789,194426,224616,78198,52.65888027
Natrona Heights,40.6195987,-79.7227478,67509,44700,69574,1399.60324
Nazareth,40.73841055,-75.2950936,177057,163096,114699,350.6446157
Nescopeck,41.0825891,-76.1181678,49667,43563,33903,287.5912209
New Bloomfield,40.3878597,-77.215227,65547,64535,38182,353.6839397
New Brighton,40.7412165,-80.28598115,116395,100163,76829,938.2589128
New Britain,40.3111364,-75.1792574,186237,176096,125217,445.3701555
New Castle,41.00305727,-80.34048253,338473,259930,276431,2929.398158
New Cumberland,40.2196302,-76.87549047,223178,191374,154844,1202.916988
New Florence,40.3403203,-79.1135169,54322,41523,44321,431.7180698
New Holland,40.1012938,-76.0901467,62574,52727,40755,1377.211116
New Hope,40.3352169,-74.9831638,155990,300000,69182,63.7259358
New Kensington,40.5702021,-79.7609926,41293,21553,40226,365.253076
New Milford,41.8208898,-75.64051605,123509,100862,95853,1301.480075
New Oxford,39.8490394,-77.0448158,64250,66659,38158,358.8155076
New Paris,40.0139932,-78.6688652,54755,42084,44231,1340.845628
New Ringgold,40.7273157,-75.9065925,76345,300000,40721,127.0255451
New Stanton,40.2253259,-79.6226248,65692,57390,48391,1412.032183
New Tripoli,40.68362635,-75.7411323,147477,366365,101761,995.2566423
Newfoundland,41.3173772,-75.3859358,53141,43289,40126,374.2565535
Newport,40.4771395,-77.1828578,70661,63330,45433,298.4515187
Newtown,40.23080087,-74.93851627,345233,305236,215903,683.6745271
Newtown Square,39.9732169,-75.4113673,67093,300000,52996,293.7920356
Newville,40.18987297,-77.40641773,166359,139667,121784,1091.424837
Norristown,40.12710086,-75.34187104,419932,568585,314919,3785.040967
North East,42.2133673,-79.8333505,46213,33301,37048,318.5243323
North Huntingdon,40.31560103,-79.73007427,279585,437297,192527,1333.900902
North Versailles,40.3800057,-79.8108679,106403,81913,86201,2002.398411
North Wales,40.21274803,-75.25360813,298062,243511,221189,2377.610042
Northern Cambria,40.6504436,-78.7821565,101557,85712,73959,1422.647372
Northumberland,40.9321358,-76.7729718,63967,49029,45240,203.1592025
Oakdale,40.42149773,-80.20798857,254304,205524,183213,1063.615382
Oakmont,40.5260893,-79.84064433,212377,170411,156084,1343.071745
Oil City,41.4298961,-79.6867698,55544,300000,32758,246.0573465
Old Forge,41.3747588,-75.7440994,54009,300000,34561,311.2576479
Oley,40.3749606,-75.7977581,86903,71357,57971,231.0798494
Orefield,40.6180364,-75.5710889,137092,127785,80216,237.0763786
Oreland,40.0954618,-75.222646,100669,100772,65843,189.2193672
Orwigsburg,40.595403,-76.097239,52567,44782,35418,225.9588071
Osceola Mills,40.8674217,-78.2901519,105809,91922,87281,672.5710281
Oxford,39.8422138,-75.9588152,91864,82023,61656,353.47797
Palmerton,40.8040941,-75.617106,65223,55248,41782,233.4213652
Palmyra,40.3052344,-76.5920166,66763,58625,47602,919.2530436
Paradise,39.9885284,-76.1034834,72609,63888,54104,344.3495185
Parkside,39.8673668,-75.3779924,67383,65307,44586,253.4868579
Peckville,41.4539519,-75.5429852,109752,84295,97223,1503.066586
Pen Argyl,40.8490328,-75.29101773,142515,101671,115309,2043.672378
Penbrook,40.2886332,-76.8494615,74427,56810,47538,373.2493299
Pennsburg,40.3933927,-75.4952972,93255,75789,51740,125.5562073
Perkasie,40.3670934,-75.24752253,249564,210548,163302,1299.558127
Perryopolis,40.08302,-79.850922,52791,41843,45317,125.6942912
Philadelphia,40.00245293,-75.14466308,9116607,11535115,7236902,75783.8981
