City,Lat,Lon,Mean Household Income,Median Household Income,Stdev Household Income ,Number of Households
Swarthmore,39.89363485,-75.34646805,181033,138586,143125,1141.588055
Sweet Valley,41.308618,-76.102899,54658,47594,40259,62.19808082
Swiftwater,41.113985,-75.2982041,140267,122442,96085,1656.115431
Tamaqua,40.8261658,-75.9733214,184688,362925,143860,1672.59498
Tarentum,40.62672195,-79.8158419,105178,353406,64576,446.1518915
Three Springs,40.2018922,-77.9489167,52846,43755,39462,202.7909827
Throop,41.4382271,-75.5926547,55072,300000,38412,276.0240722
Tioga,41.907773,-77.135162,43250,34887,36936,196.6594255
Titusville,41.6586068,-79.6810225,49740,45871,33264,300.6551565
Topton,40.501714,-75.664612,52582,300000,16203,177.3213878
Towanda,41.7511265,-76.3949771,72908,60478,47256,245.9229964
Tower City,40.5766812,-76.4787345,58302,42571,46634,305.2218558
Townville,41.679118,-79.88014,50360,40766,32432,114.830453
Trappe,40.1929798,-75.4664489,201183,387364,136072,827.9587272
Trevorton,40.7571789,-76.6429661,53539,47061,40817,924.5997484
Troy,41.7961985,-76.8198029,65496,49950,57386,271.5886686
Tunkhannock,41.4187615,-76.0179712,65728,52135,46176,348.4190849
Turbotville,41.072324,-76.818762,54304,300000,31360,99.89747918
Turtle Creek,40.3941693,-79.8100218,29027,21689,24848,458.9837775
Tyrone,40.653335,-78.2413739,60596,300000,29981,245.0895799
Ulysses,41.8799898,-77.7886718,47289,39779,33945,289.2927481
Union City,41.9245092,-79.8144263,69659,58412,51624,211.8885391
Uniontown,39.89262585,-79.72002538,233604,406601,204031,2297.340316
Upland,39.856203,-75.3796483,43473,23986,46101,215.3911378
Upper Darby,39.96145755,-75.26403418,252327,430086,183979,1622.913031
Utica,41.4372,-79.965392,54763,36750,48795,38.66425149
Vandergrift,40.61206513,-79.56477013,147069,131812,103647,1067.957135
Venetia,40.2663501,-80.0452914,138552,135628,68104,181.7116379
Verona,40.4727177,-79.834378,56192,58522,36547,359.5496474
Wallingford,39.8881967,-75.3777903,119494,300000,71351,148.056889
Warminster,40.2094865,-75.10370695,185321,176091,120415,1446.246609
Warren,41.85074385,-79.1730362,176758,655011,140810,2089.764647
Warrington,40.2583121,-75.1875488,134721,119770,77364,328.4738672
Washington,40.1621953,-80.2343009,301131,434982,213951,1907.235701
Waterfall,40.0173519,-78.1022267,51658,46607,38486,366.5511233
Waterford,41.9221942,-79.9593265,122671,107031,93411,1980.840563
Watsontown,41.108096,-76.898157,55012,48693,38797,116.4624778
Waverly,41.5280621,-75.71396713,265611,444338,194126,685.528886
Wayne,40.0740967,-75.43069658,493357,631752,343657,3423.716274
Waynesboro,39.7722024,-77.56944877,170875,387814,116495,1555.089926
Waynesburg,39.9027467,-80.16168013,174757,154127,129138,731.9971221
Weedville,41.3272282,-78.3626991,54769,45356,42153,635.7142129
Wellsboro,41.7939706,-77.25996915,116902,97350,91081,738.6416384
West Chester,39.96276989,-75.57167937,1007049,952099,540874,2757.482191
West Grove,39.78925225,-75.9061495,154223,421874,81969,293.2119391
West Hazleton,40.96591655,-75.99801925,89730,72915,71690,1143.287505
West Lawn,40.32344035,-76.0282089,332816,276832,218702,1380.794775
West Mifflin,40.3628514,-79.89414435,97436,317699,86301,629.8759342
West Newton,40.2053977,-79.7740035,109721,80476,95988,1292.48323
West Pittston,41.3295608,-75.7999664,103142,105818,44331,69.25755103
West Reading,40.3263816,-75.94855075,96779,86592,58695,686.3393832
West Sunbury,41.0302414,-79.88912167,176277,162602,114401,675.5987829
Westover,40.7864313,-78.710153,49879,40735,38907,621.0463606
Wexford,40.62289185,-80.0683952,284248,272442,145147,442.3872024
White Haven,41.058824,-75.784913,64795,53350,50548,283.1872317
Whitehall,40.6589924,-75.4946974,78997,300000,44578,305.1149336
Wilkes Barre,41.24012239,-75.87531447,297298,228832,241188,2383.712629
Wilkes-barre,41.1845583,-75.7369433,144229,113451,113100,1138.482835
Wilkinsburg,40.44778964,-79.87154036,219090,153866,207114,7934.533453
Williamsport,41.24853838,-77.01654105,392538,545056,313434,2467.176377
Willow Grove,40.142675,-75.10727847,242500,440912,166543,777.1602501
Willow Hill,40.1449983,-77.7402131,62519,50184,47969,444.8476908
Willow Street,39.9702899,-76.2954759,75814,66539,47045,944.7886845
Windber,40.2355307,-78.8247011,56581,43977,47302,185.9924256
Wingate,40.9974904,-77.7923342,52145,49403,40943,382.8499047
Wyalusing,41.6332692,-76.36000913,172323,125533,146420,529.9787978
Wynnewood,39.98443867,-75.27571083,365911,338097,226684,1063.362884
Wyoming,41.3056766,-75.8428862,62953,49977,53327,270.8203898
Wyomissing,40.333521,-75.9833417,86794,71660,59405,205.3571282
Yardley,40.22836065,-74.84642375,280941,289963,145742,488.1557072
Yeadon,39.9251187,-75.2494799,98712,72273,84182,1733.750676
York,39.96188209,-76.72978508,1071048,1812782,767198,7808.996232
York Springs,39.9719049,-77.1408392,65218,53029,48855,509.5788806
Zelienople,40.7857195,-80.1387211,53724,300000,39284,474.4206437
